sex,age_group,covid_19_deaths
Male,75-84 years,3389.4683429700663
Male,85 years and over,3201.2011170835954
Female,Under 1 year,1.3165540271781186
Female,1-4 years,1.3165540271781186
Female,5-14 years,0.0
Female,15-24 years,12.507263258192127
Female,25-34 years,45.421113937645096
Female,30-39 years,75.04357954915277
Female,35-44 years,119.14813945961974
Female,40-49 years,203.40759719901934
Female,45-54 years,347.57026317502334
Female,55-64 years,990.0486284379452
Female,65-74 years,2016.9607696368778
Female,75-84 years,3041.2398027814543
Female,85 years and over,5813.902584018572
Male,Under 1 year,3.2913850679452965
Male,1-4 years,0.6582770135890593
Male,5-14 years,0.6582770135890593
Male,15-24 years,17.115202353315542
Male,25-34 years,77.01841058991994
Male,30-39 years,126.3891866090994
Male,35-44 years,188.92550290006002
Male,40-49 years,306.75708833250167
Male,45-54 years,498.973976300507
Male,55-64 years,1011.1134928727952
Male,65-74 years,1512.0623002140692
Male,75-84 years,1525.8861174994395
Male,85 years and over,1342.226830708092
Female,Under 1 year,0.6582770135890593
Female,1-4 years,1.974831040767178
Female,5-14 years,0.6582770135890593
Female,15-24 years,14.482094298959305
Female,25-34 years,44.104559910466975
Female,30-39 years,68.46080941326217
Female,35-44 years,95.4501669704136
Female,40-49 years,144.82094298959305
Female,45-54 years,250.8035421774316
Female,55-64 years,556.2440764827551
Female,65-74 years,970.3003180302734
Female,75-84 years,1421.878349352368
Female,85 years and over,2269.7391428550764
Male,Under 1 year,3.2913850679452965
Male,1-4 years,0.6582770135890593
Male,5-14 years,5.924493122301534
Male,15-24 years,38.8383438017545
Male,25-34 years,148.11232805753835
Male,30-39 years,247.5121571094863
Male,35-44 years,392.33310009907933
Male,40-49 years,583.2334340399066
Male,45-54 years,860.3680567609006
Male,55-64 years,1881.3557048375314
Male,65-74 years,2809.5262939981053
Male,75-84 years,3009.6425061291793
Male,85 years and over,2288.8291762491594
Female,Under 1 year,0.6582770135890593
Female,1-4 years,0.0
Female,5-14 years,3.2913850679452965
Female,15-24 years,26.331080543562372
Female,25-34 years,82.28462669863242
Female,30-39 years,124.41435556833221
Female,35-44 years,200.11621213107404
Female,40-49 years,292.2749940335423
Female,45-54 years,449.60320028132753
Female,55-64 years,1067.7253160414543
Female,65-74 years,1826.0604356960505
Female,75-84 years,2275.663635977378
Female,85 years and over,3045.1894648629886
Male,Under 1 year,0.6582770135890593
Male,1-4 years,1.974831040767178
Male,5-14 years,1.3165540271781186
Male,15-24 years,28.30591158432955
Male,25-34 years,90.18395086170112
Male,30-39 years,156.66992923419613
Male,35-44 years,273.8432376530487
Male,40-49 years,483.8336049879586
Male,45-54 years,741.8781943148698
Male,55-64 years,1664.782567366731
Male,65-74 years,2727.899944313062
Male,75-84 years,2941.181696715917
Male,85 years and over,2230.242522039733
Female,Under 1 year,1.3165540271781186
Female,1-4 years,1.3165540271781186
Female,5-14 years,2.6331080543562373
Female,15-24 years,17.773479366904603
Female,25-34 years,59.9032082366044
Female,30-39 years,94.79188995682455
Female,35-44 years,148.77060507112742
Female,40-49 years,252.7783732181988
Female,45-54 years,389.6999920447231
Female,55-64 years,1044.027343552248
Female,65-74 years,1797.096247098132
Female,75-84 years,2356.6317086488325
Female,85 years and over,3064.2794982570713
Male,Under 1 year,2.6331080543562373
Male,1-4 years,0.0
Male,5-14 years,0.6582770135890593
Male,15-24 years,13.823817285370247
Male,25-34 years,62.536316290960634
Male,30-39 years,92.81705891605736
Male,35-44 years,144.16266597600398
Male,40-49 years,259.3611433540894
Male,45-54 years,416.68934960187454
Male,55-64 years,1026.2538641853434
Male,65-74 years,1681.2394927064574
Male,75-84 years,1923.4854337072313
Male,85 years and over,1498.238482928699
Female,Under 1 year,1.3165540271781186
Female,1-4 years,0.0
Female,5-14 years,1.3165540271781186
Female,15-24 years,11.190709231014008
Female,25-34 years,37.52178977457638
Female,30-39 years,60.561485250193456
Female,35-44 years,96.76672099759172
Female,40-49 years,152.0619901390727
Female,45-54 years,225.78901566104736
Female,55-64 years,589.1579271622081
Female,65-74 years,1175.6827462700599
Female,75-84 years,1521.2781784043161
Female,85 years and over,2106.4864434849896
Male,Under 1 year,2.6331080543562373
Male,1-4 years,0.0
Male,5-14 years,1.974831040767178
Male,15-24 years,12.507263258192127
Male,25-34 years,52.00388407353569
Male,30-39 years,98.08327502476983
Male,35-44 years,154.69509819342895
Male,40-49 years,265.94391348998
Male,45-54 years,448.2866462541494
Male,55-64 years,1123.6788621965243
Male,65-74 years,2082.1301939821947
Male,75-84 years,2598.219372636017
Male,85 years and over,2278.2967440317343
Female,Under 1 year,0.6582770135890593
Female,1-4 years,0.0
Female,5-14 years,1.974831040767178
Female,15-24 years,9.21587819024683
Female,25-34 years,42.1297288696998
Female,30-39 years,60.561485250193456
Female,35-44 years,100.71638307912608
Female,40-49 years,150.74543611189458
Female,45-54 years,224.47246163386922
Female,55-64 years,658.2770135890594
Female,65-74 years,1384.3565595777918
Female,75-84 years,2036.0508030309604
Female,85 years and over,2984.627979612795
Male,Under 1 year,1.974831040767178
Male,1-4 years,1.3165540271781186
Male,5-14 years,3.2913850679452965
Male,15-24 years,19.09003339408272
Male,25-34 years,106.64087620142762
Male,30-39 years,190.24205692723814
Male,35-44 years,304.1239802781454
Male,40-49 years,502.26536136845226
Male,45-54 years,832.062145176571
Male,55-64 years,2219.051812808719
Male,65-74 years,4446.002949780506
Male,75-84 years,5890.920994608492
Male,85 years and over,5220.794994774829
Female,Under 1 year,1.3165540271781186
Female,1-4 years,0.6582770135890593
Female,5-14 years,3.2913850679452965
Female,15-24 years,17.773479366904603
Female,25-34 years,76.36013357633088
Female,30-39 years,102.69121411989326
Female,35-44 years,157.98648326137425
Female,40-49 years,267.9187445307471
Female,45-54 years,446.9700922269713
Female,55-64 years,1319.187135232475
Female,65-74 years,2735.1409914625415
Female,75-84 years,4334.754134483956
Female,85 years and over,6537.3490219529485
Male,Under 1 year,3.949662081534356
Male,1-4 years,2.6331080543562373
Male,5-14 years,2.6331080543562373
Male,15-24 years,50.02905303276851
Male,25-34 years,192.21688796800532
Male,30-39 years,328.4802297809406
Male,35-44 years,541.7619821837958
Male,40-49 years,984.1241353156437
Male,45-54 years,1722.7109445625683
Male,55-64 years,4383.466633489546
Male,65-74 years,8225.171284795297
Male,75-84 years,10413.942354978919
Male,85 years and over,9237.60133169527
Female,Under 1 year,2.6331080543562373
Female,1-4 years,1.3165540271781186
Female,5-14 years,3.949662081534356
Female,15-24 years,23.697972489206137
Female,25-34 years,122.43952452756504
Female,30-39 years,200.7744891446631
Female,35-44 years,325.84712172658436
Female,40-49 years,577.308940917605
Female,45-54 years,892.6236304267644
Female,55-64 years,2469.1970779725616
Female,65-74 years,5166.158002646937
Female,75-84 years,7902.615548136657
Female,85 years and over,12139.286407595842
Male,Under 1 year,1.974831040767178
Male,1-4 years,1.974831040767178
Male,5-14 years,5.266216108712475
Male,15-24 years,43.44628289687792
Male,25-34 years,252.12009620460972
Male,30-39 years,407.4734714116277
Male,35-44 years,663.5432296977718
Male,40-49 years,1136.8444024683054
Male,45-54 years,1945.2085751556704
Male,55-64 years,5028.5781068068245
Male,65-74 years,9157.291536037405
Male,75-84 years,10679.22799145531
Male,85 years and over,8545.752190413168
Female,Under 1 year,2.6331080543562373
Female,1-4 years,0.0
Female,5-14 years,3.949662081534356
Female,15-24 years,36.20523574739826
Female,25-34 years,152.0619901390727
Female,30-39 years,231.0552317697598
Female,35-44 years,360.07752643321544
Female,40-49 years,622.0717778416611
Female,45-54 years,1033.4949113348232
Female,55-64 years,2951.714128933342
Female,65-74 years,5762.5569769586255
Female,75-84 years,8008.598147324496
Female,85 years and over,10822.732380417725
Male,Under 1 year,1.3165540271781186
Male,1-4 years,0.6582770135890593
Male,5-14 years,1.3165540271781186
Male,15-24 years,25.672803529973315
Male,25-34 years,116.5150314052635
Male,30-39 years,179.05134769622413
Male,35-44 years,283.71739285688454
Male,40-49 years,552.2944144012208
Male,45-54 years,1021.6459250902201
Male,55-64 years,2660.097411913389
Male,65-74 years,4555.27693403629
Male,75-84 years,4854.792975219312
Male,85 years and over,3491.5012800763707
Female,Under 1 year,1.3165540271781186
Female,1-4 years,0.6582770135890593
Female,5-14 years,3.2913850679452965
Female,15-24 years,17.773479366904603
Female,25-34 years,61.87803927737158
Female,30-39 years,113.88192335090726
Female,35-44 years,197.4831040767178
Female,40-49 years,333.7464458896531
Female,45-54 years,529.9129959391928
Female,55-64 years,1558.1416911653034
Female,65-74 years,2838.490482596024
Female,75-84 years,3475.702631750233
Female,85 years and over,4133.979645339293
Male,Under 1 year,0.0
Male,1-4 years,0.6582770135890593
Male,5-14 years,2.6331080543562373
Male,15-24 years,11.848986244603068
