condition_group,condition,age_group,number_covid19_deaths
Respiratory diseases,Influenza and pneumonia,0-24,248.17043412307535
Respiratory diseases,Influenza and pneumonia,25-34,1117.7543690742227
Respiratory diseases,Influenza and pneumonia,35-44,3005.0345670340557
Respiratory diseases,Influenza and pneumonia,45-54,9029.585795401126
Respiratory diseases,Influenza and pneumonia,55-64,23235.203748653028
Respiratory diseases,Influenza and pneumonia,65-74,40761.17095844814
Respiratory diseases,Influenza and pneumonia,75-84,47576.971157149266
Respiratory diseases,Influenza and pneumonia,85+,43509.477490182464
Respiratory diseases,Influenza and pneumonia,All Ages,168486.65990513333
Respiratory diseases,Chronic lower respiratory diseases,0-24,32.255573665863906
Respiratory diseases,Chronic lower respiratory diseases,25-34,100.05810606553702
Respiratory diseases,Chronic lower respiratory diseases,35-44,254.0949272453769
Respiratory diseases,Chronic lower respiratory diseases,45-54,795.8569094291727
Respiratory diseases,Chronic lower respiratory diseases,55-64,3288.7519598909403
Respiratory diseases,Chronic lower respiratory diseases,65-74,8140.253550042307
Respiratory diseases,Chronic lower respiratory diseases,75-84,11158.453657348145
Respiratory diseases,Chronic lower respiratory diseases,85+,9415.994402377904
Respiratory diseases,Chronic lower respiratory diseases,All Ages,33186.377363078835
Respiratory diseases,Adult respiratory distress syndrome,0-24,100.71638307912608
Respiratory diseases,Adult respiratory distress syndrome,25-34,385.0920529495997
Respiratory diseases,Adult respiratory distress syndrome,35-44,1034.1531883484122
Respiratory diseases,Adult respiratory distress syndrome,45-54,3080.7364235967975
Respiratory diseases,Adult respiratory distress syndrome,55-64,7110.708300789019
Respiratory diseases,Adult respiratory distress syndrome,65-74,10869.470048382547
Respiratory diseases,Adult respiratory distress syndrome,75-84,9371.231565453849
Respiratory diseases,Adult respiratory distress syndrome,85+,5854.7157588610935
Respiratory diseases,Adult respiratory distress syndrome,All Ages,37807.48199847403
Respiratory diseases,Respiratory failure,0-24,194.1917190087725
Respiratory diseases,Respiratory failure,25-34,793.8820783884055
Respiratory diseases,Respiratory failure,35-44,2188.771070183622
Respiratory diseases,Respiratory failure,45-54,6842.789556258272
Respiratory diseases,Respiratory failure,55-64,18302.075808816615
Respiratory diseases,Respiratory failure,65-74,34016.46467721464
Respiratory diseases,Respiratory failure,75-84,40726.94055374151
Respiratory diseases,Respiratory failure,85+,36028.15923074281
Respiratory diseases,Respiratory failure,All Ages,139095.24952539543
Respiratory diseases,Respiratory arrest,0-24,11.848986244603068
Respiratory diseases,Respiratory arrest,25-34,44.76283692405603
Respiratory diseases,Respiratory arrest,35-44,111.90709231014009
Respiratory diseases,Respiratory arrest,45-54,323.21401367222813
Respiratory diseases,Respiratory arrest,55-64,857.7349487065443
Respiratory diseases,Respiratory arrest,65-74,1552.8754750565909
Respiratory diseases,Respiratory arrest,75-84,2147.9578953411005
Respiratory diseases,Respiratory arrest,85+,2630.474946301881
Respiratory diseases,Respiratory arrest,All Ages,7680.776194557144
Respiratory diseases,Other diseases of the respiratory system,0-24,45.421113937645096
Respiratory diseases,Other diseases of the respiratory system,25-34,132.97195674499
Respiratory diseases,Other diseases of the respiratory system,35-44,313.33985846839226
Respiratory diseases,Other diseases of the respiratory system,45-54,842.5945773939959
Respiratory diseases,Other diseases of the respiratory system,55-64,2246.0411703658706
Respiratory diseases,Other diseases of the respiratory system,65-74,3833.1470501290923
Respiratory diseases,Other diseases of the respiratory system,75-84,4396.632173761327
Respiratory diseases,Other diseases of the respiratory system,85+,3816.031847775777
Respiratory diseases,Other diseases of the respiratory system,All Ages,15626.83802559068
Circulatory diseases,Hypertensive diseases,0-24,22.381418462028016
Circulatory diseases,Hypertensive diseases,25-34,203.40759719901934
Circulatory diseases,Hypertensive diseases,35-44,863.6594418288458
Circulatory diseases,Hypertensive diseases,45-54,2893.127474723916
Circulatory diseases,Hypertensive diseases,55-64,8365.384288689766
Circulatory diseases,Hypertensive diseases,65-74,16027.070449852827
Circulatory diseases,Hypertensive diseases,75-84,20307.18759220889
Circulatory diseases,Hypertensive diseases,85+,23460.992764314073
Circulatory diseases,Hypertensive diseases,All Ages,72143.86930429295
Circulatory diseases,Ischemic heart disease,0-24,8.557601176657771
Circulatory diseases,Ischemic heart disease,25-34,51.34560705994663
Circulatory diseases,Ischemic heart disease,35-44,218.5479685115677
Circulatory diseases,Ischemic heart disease,45-54,994.6565675330686
Circulatory diseases,Ischemic heart disease,55-64,3765.3445177294193
Circulatory diseases,Ischemic heart disease,65-74,8904.513162819205
Circulatory diseases,Ischemic heart disease,75-84,13212.277939746009
Circulatory diseases,Ischemic heart disease,85+,14684.843619144734
Circulatory diseases,Ischemic heart disease,All Ages,41841.40353774779
Circulatory diseases,Cardiac arrest,0-24,80.9680726714543
Circulatory diseases,Cardiac arrest,25-34,358.10269539244825
Circulatory diseases,Cardiac arrest,35-44,949.2354535954236
Circulatory diseases,Cardiac arrest,45-54,2779.2455513730083
Circulatory diseases,Cardiac arrest,55-64,6505.093448287084
Circulatory diseases,Cardiac arrest,65-74,10467.262793079632
Circulatory diseases,Cardiac arrest,75-84,11567.24368278695
Circulatory diseases,Cardiac arrest,85+,11154.50399526661
Circulatory diseases,Cardiac arrest,All Ages,43862.3139694662
Circulatory diseases,Cardiac arrhythmia,0-24,16.45692533972648
Circulatory diseases,Cardiac arrhythmia,25-34,56.6118231686591
Circulatory diseases,Cardiac arrhythmia,35-44,146.79577403036023
Circulatory diseases,Cardiac arrhythmia,45-54,564.8016776594129
Circulatory diseases,Cardiac arrhythmia,55-64,1997.8707362427951
Circulatory diseases,Cardiac arrhythmia,65-74,5061.491957486277
Circulatory diseases,Cardiac arrhythmia,75-84,8539.827697290866
Circulatory diseases,Cardiac arrhythmia,85+,11015.607545399318
Circulatory diseases,Cardiac arrhythmia,All Ages,27399.464136617415
Circulatory diseases,Heart failure,0-24,11.848986244603068
Circulatory diseases,Heart failure,25-34,65.16942434531687
Circulatory diseases,Heart failure,35-44,195.50827303595062
Circulatory diseases,Heart failure,45-54,637.2121491542094
Circulatory diseases,Heart failure,55-64,2053.166005384276
Circulatory diseases,Heart failure,65-74,4819.246016485503
Circulatory diseases,Heart failure,75-84,8005.30676225655
Circulatory diseases,Heart failure,85+,11741.028814374462
Circulatory diseases,Heart failure,All Ages,27529.14470829446
Circulatory diseases,Cerebrovascular diseases,0-24,16.45692533972648
Circulatory diseases,Cerebrovascular diseases,25-34,52.662161087124744
Circulatory diseases,Cerebrovascular diseases,35-44,186.2923948457038
Circulatory diseases,Cerebrovascular diseases,45-54,653.6690744939359
Circulatory diseases,Cerebrovascular diseases,55-64,1976.805871807945
Circulatory diseases,Cerebrovascular diseases,65-74,4021.4142760155632
Circulatory diseases,Cerebrovascular diseases,75-84,5347.184181383929
Circulatory diseases,Cerebrovascular diseases,85+,6108.810686106471
Circulatory diseases,Cerebrovascular diseases,All Ages,18363.95384809399
Circulatory diseases,Other diseases of the circulatory system,0-24,86.23428878016676
Circulatory diseases,Other diseases of the circulatory system,25-34,217.88969149797865
Circulatory diseases,Other diseases of the circulatory system,35-44,512.7977935858772
Circulatory diseases,Other diseases of the circulatory system,45-54,1306.0215949606936
Circulatory diseases,Other diseases of the circulatory system,55-64,3155.7800031459506
Circulatory diseases,Other diseases of the circulatory system,65-74,5604.570493697251
Circulatory diseases,Other diseases of the circulatory system,75-84,6795.393611279859
Circulatory diseases,Other diseases of the circulatory system,85+,7212.082960881734
Circulatory diseases,Other diseases of the circulatory system,All Ages,24890.77043782951
Sepsis,Sepsis,0-24,70.43564045402935
Sepsis,Sepsis,25-34,274.5015146666377
Sepsis,Sepsis,35-44,779.3999840894462
Sepsis,Sepsis,45-54,2360.581370730367
Sepsis,Sepsis,55-64,5911.327582029753
Sepsis,Sepsis,65-74,9871.522095781535
Sepsis,Sepsis,75-84,9206.662312056584
Sepsis,Sepsis,85+,6008.752580040934
Sepsis,Sepsis,All Ages,34483.841356862875
Malignant neoplasms,Malignant neoplasms,0-24,46.73766796482321
Malignant neoplasms,Malignant neoplasms,25-34,73.72702552197464
Malignant neoplasms,Malignant neoplasms,35-44,218.5479685115677
Malignant neoplasms,Malignant neoplasms,45-54,733.3205931382121
Malignant neoplasms,Malignant neoplasms,55-64,2488.2871113666442
Malignant neoplasms,Malignant neoplasms,65-74,5112.837564546224
Malignant neoplasms,Malignant neoplasms,75-84,5946.8745407635615
Malignant neoplasms,Malignant neoplasms,85+,4573.050413403195
Malignant neoplasms,Malignant neoplasms,All Ages,19193.382885216204
Diabetes,Diabetes,0-24,67.80253239967311
Diabetes,Diabetes,25-34,325.84712172658436
Diabetes,Diabetes,35-44,1164.492037039046
Diabetes,Diabetes,45-54,3635.6639460523747
Diabetes,Diabetes,55-64,9343.583930883107
Diabetes,Diabetes,65-74,16080.390887953541
Diabetes,Diabetes,75-84,16284.45676216615
Diabetes,Diabetes,85+,11278.260073821353
Diabetes,Diabetes,All Ages,58181.155569055416
Obesity,Obesity,0-24,138.89644986729152
Obesity,Obesity,25-34,570.0678937681254
Obesity,Obesity,35-44,1242.827001656144
Obesity,Obesity,45-54,2328.3257970645027
Obesity,Obesity,55-64,3615.915635644703
Obesity,Obesity,65-74,3815.3735707621877
Obesity,Obesity,75-84,1991.2879661069044
Obesity,Obesity,85+,508.1898544907538
Obesity,Obesity,All Ages,14210.884169360612
Alzheimer disease,Alzheimer disease,0-24,0.0
Alzheimer disease,Alzheimer disease,25-34,0.0
Alzheimer disease,Alzheimer disease,35-44,1.974831040767178
Alzheimer disease,Alzheimer disease,45-54,9.21587819024683
Alzheimer disease,Alzheimer disease,55-64,111.24881529655103
Alzheimer disease,Alzheimer disease,65-74,854.443563638599
Alzheimer disease,Alzheimer disease,75-84,3806.81596958553
Alzheimer disease,Alzheimer disease,85+,8517.446278828838
Alzheimer disease,Alzheimer disease,All Ages,13301.145336580532
Vascular and unspecified dementia,Vascular and unspecified dementia,0-24,0.0
Vascular and unspecified dementia,Vascular and unspecified dementia,25-34,0.6582770135890593
Vascular and unspecified dementia,Vascular and unspecified dementia,35-44,3.2913850679452965
Vascular and unspecified dementia,Vascular and unspecified dementia,45-54,34.88868172022014
Vascular and unspecified dementia,Vascular and unspecified dementia,55-64,467.37667964823214
Vascular and unspecified dementia,Vascular and unspecified dementia,65-74,3051.772234998879
Vascular and unspecified dementia,Vascular and unspecified dementia,75-84,10592.993702675143
Vascular and unspecified dementia,Vascular and unspecified dementia,85+,21812.00884527348
Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,35963.64808341108
Renal failure,Renal failure,0-24,43.44628289687792
Renal failure,Renal failure,25-34,237.6380019056504
Renal failure,Renal failure,35-44,681.3167090646764
Renal failure,Renal failure,45-54,2110.436105566524
Renal failure,Renal failure,55-64,5326.777593962668
Renal failure,Renal failure,65-74,9570.689500571334
Renal failure,Renal failure,75-84,10454.75552982144
Renal failure,Renal failure,85+,8854.484109786437
Renal failure,Renal failure,All Ages,37281.51866461638
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0-24,145.47922000318212
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25-34,333.088168876064
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",35-44,481.2004969336024
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",45-54,792.5655243612274
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",55-64,1633.8435477280452
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",65-74,2594.927987568072
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",75-84,3439.497396002835
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",85+,4561.859704172181
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,13984.436876685977
All other conditions and causes (residual),All other conditions and causes (residual),0-24,595.0824202845097
All other conditions and causes (residual),All other conditions and causes (residual),25-34,1605.5376361437156
All other conditions and causes (residual),All other conditions and causes (residual),35-44,3801.5497534768174
All other conditions and causes (residual),All other conditions and causes (residual),45-54,10323.758404117218
All other conditions and causes (residual),All other conditions and causes (residual),55-64,27101.264649461573
All other conditions and causes (residual),All other conditions and causes (residual),65-74,49220.03058306756
All other conditions and causes (residual),All other conditions and causes (residual),75-84,58200.90387946309
All other conditions and causes (residual),All other conditions and causes (residual),85+,59612.90807361162
All other conditions and causes (residual),All other conditions and causes (residual),All Ages,210466.9598927484
COVID-19,COVID-19,0-24,664.8597837249499
COVID-19,COVID-19,25-34,2382.304512178806
COVID-19,COVID-19,35-44,6229.933656606858
COVID-19,COVID-19,45-54,17443.024306082894
COVID-19,COVID-19,55-64,44326.399264046486
COVID-19,COVID-19,65-74,79776.5912768581
COVID-19,COVID-19,75-84,100125.9085979367
COVID-19,COVID-19,85+,110420.0445364424
COVID-19,COVID-19,All Ages,361374.99042699946
Respiratory diseases,Influenza and pneumonia,0-24,170.49374651956637
Respiratory diseases,Influenza and pneumonia,0-24,77.676687603509
Respiratory diseases,Influenza and pneumonia,25-34,751.7523495187057
Respiratory diseases,Influenza and pneumonia,25-34,366.002019555517
Respiratory diseases,Influenza and pneumonia,35-44,2018.935600677645
Respiratory diseases,Influenza and pneumonia,35-44,986.0989663564109
Respiratory diseases,Influenza and pneumonia,45-54,5942.266601668439
Respiratory diseases,Influenza and pneumonia,45-54,3087.3191937326883
Respiratory diseases,Influenza and pneumonia,55-64,14791.484495346163
Respiratory diseases,Influenza and pneumonia,55-64,8443.719253306865
Respiratory diseases,Influenza and pneumonia,65-74,26157.29541197486
Respiratory diseases,Influenza and pneumonia,65-74,14603.87554647328
Respiratory diseases,Influenza and pneumonia,75-84,31486.047836978298
Respiratory diseases,Influenza and pneumonia,75-84,16090.923320170967
Respiratory diseases,Influenza and pneumonia,85+,30403.840426637882
Respiratory diseases,Influenza and pneumonia,85+,13105.637063544582
Respiratory diseases,Influenza and pneumonia,All Ages,111725.4078543895
Respiratory diseases,Influenza and pneumonia,All Ages,56761.25205074382
Respiratory diseases,Chronic lower respiratory diseases,0-24,26.989357557151433
Respiratory diseases,Chronic lower respiratory diseases,0-24,5.266216108712475
Respiratory diseases,Chronic lower respiratory diseases,25-34,76.36013357633088
Respiratory diseases,Chronic lower respiratory diseases,25-34,23.697972489206137
Respiratory diseases,Chronic lower respiratory diseases,35-44,181.68445575058038
Respiratory diseases,Chronic lower respiratory diseases,35-44,72.41047149479652
Respiratory diseases,Chronic lower respiratory diseases,45-54,558.2189075235223
Respiratory diseases,Chronic lower respiratory diseases,45-54,237.6380019056504
Respiratory diseases,Chronic lower respiratory diseases,55-64,2303.3112705481185
Respiratory diseases,Chronic lower respiratory diseases,55-64,985.4406893428218
Respiratory diseases,Chronic lower respiratory diseases,65-74,5696.07099858613
Respiratory diseases,Chronic lower respiratory diseases,65-74,2444.1825514561774
Respiratory diseases,Chronic lower respiratory diseases,75-84,7832.179907682628
Respiratory diseases,Chronic lower respiratory diseases,75-84,3326.273749665517
Respiratory diseases,Chronic lower respiratory diseases,85+,6920.466243861781
Respiratory diseases,Chronic lower respiratory diseases,85+,2495.5281585161238
Respiratory diseases,Chronic lower respiratory diseases,All Ages,23595.939552099833
Respiratory diseases,Chronic lower respiratory diseases,All Ages,9590.437810979005
Respiratory diseases,Adult respiratory distress syndrome,0-24,73.72702552197464
Respiratory diseases,Adult respiratory distress syndrome,0-24,26.989357557151433
Respiratory diseases,Adult respiratory distress syndrome,25-34,273.8432376530487
Respiratory diseases,Adult respiratory distress syndrome,25-34,111.24881529655103
Respiratory diseases,Adult respiratory distress syndrome,35-44,747.1444104235824
Respiratory diseases,Adult respiratory distress syndrome,35-44,287.0087779248299
Respiratory diseases,Adult respiratory distress syndrome,45-54,2180.8717460205535
Respiratory diseases,Adult respiratory distress syndrome,45-54,899.864677576244
Respiratory diseases,Adult respiratory distress syndrome,55-64,4907.455136306437
Respiratory diseases,Adult respiratory distress syndrome,55-64,2203.2531644825817
Respiratory diseases,Adult respiratory distress syndrome,65-74,7559.653224056758
Respiratory diseases,Adult respiratory distress syndrome,65-74,3309.81682432579
Respiratory diseases,Adult respiratory distress syndrome,75-84,6871.0954678426015
Respiratory diseases,Adult respiratory distress syndrome,75-84,2500.1360976112474
Respiratory diseases,Adult respiratory distress syndrome,85+,4740.911051868406
Respiratory diseases,Adult respiratory distress syndrome,85+,1113.8047069926884
Respiratory diseases,Adult respiratory distress syndrome,All Ages,27355.35957670695
Respiratory diseases,Adult respiratory distress syndrome,All Ages,10452.122421767084
Respiratory diseases,Respiratory failure,0-24,130.33884869063374
Respiratory diseases,Respiratory failure,0-24,63.852870318138756
Respiratory diseases,Respiratory failure,25-34,536.4957660750833
Respiratory diseases,Respiratory failure,25-34,257.3863123133222
Respiratory diseases,Respiratory failure,35-44,1454.133923018232
Respiratory diseases,Respiratory failure,35-44,734.6371471653902
Respiratory diseases,Respiratory failure,45-54,4488.790955663795
Respiratory diseases,Respiratory failure,45-54,2353.998600594476
Respiratory diseases,Respiratory failure,55-64,11594.233040344101
Respiratory diseases,Respiratory failure,55-64,6707.842768472515
Respiratory diseases,Respiratory failure,65-74,21785.677764729917
Respiratory diseases,Respiratory failure,65-74,12230.786912484722
Respiratory diseases,Respiratory failure,75-84,27128.912284032314
Respiratory diseases,Respiratory failure,75-84,13598.028269709199
Respiratory diseases,Respiratory failure,85+,25408.8344475241
Respiratory diseases,Respiratory failure,85+,10619.324783218704
Respiratory diseases,Respiratory failure,All Ages,92529.39186111894
Respiratory diseases,Respiratory failure,All Ages,46565.85766427647
Respiratory diseases,Respiratory arrest,0-24,9.87415520383589
Respiratory diseases,Respiratory arrest,0-24,1.974831040767178
Respiratory diseases,Respiratory arrest,25-34,32.91385067945296
Respiratory diseases,Respiratory arrest,25-34,11.848986244603068
Respiratory diseases,Respiratory arrest,35-44,84.91773475298865
Respiratory diseases,Respiratory arrest,35-44,26.989357557151433
Respiratory diseases,Respiratory arrest,45-54,223.1559076066911
Respiratory diseases,Respiratory arrest,45-54,100.05810606553702
Respiratory diseases,Respiratory arrest,55-64,572.7010018224817
Respiratory diseases,Respiratory arrest,55-64,285.0339468840627
Respiratory diseases,Respiratory arrest,65-74,1049.9518366745497
Respiratory diseases,Respiratory arrest,65-74,502.9236383820413
Respiratory diseases,Respiratory arrest,75-84,1462.0332471813008
Respiratory diseases,Respiratory arrest,75-84,685.9246481597999
Respiratory diseases,Respiratory arrest,85+,1860.9491174162706
Respiratory diseases,Respiratory arrest,85+,769.5258288856104
Respiratory diseases,Respiratory arrest,All Ages,5296.496851337572
Respiratory diseases,Respiratory arrest,All Ages,2384.279343219573
Respiratory diseases,Other diseases of the respiratory system,0-24,25.672803529973315
Respiratory diseases,Other diseases of the respiratory system,0-24,19.74831040767178
Respiratory diseases,Other diseases of the respiratory system,25-34,88.20911982093395
Respiratory diseases,Other diseases of the respiratory system,25-34,44.76283692405603
Respiratory diseases,Other diseases of the respiratory system,35-44,211.30692136208805
Respiratory diseases,Other diseases of the respiratory system,35-44,102.03293710630419
Respiratory diseases,Other diseases of the respiratory system,45-54,529.2547189256037
Respiratory diseases,Other diseases of the respiratory system,45-54,313.33985846839226
Respiratory diseases,Other diseases of the respiratory system,55-64,1349.4678778575717
Respiratory diseases,Other diseases of the respiratory system,55-64,896.5732925082988
Respiratory diseases,Other diseases of the respiratory system,65-74,2361.2396477439556
Respiratory diseases,Other diseases of the respiratory system,65-74,1471.9074023851367
Respiratory diseases,Other diseases of the respiratory system,75-84,2794.385922685557
Respiratory diseases,Other diseases of the respiratory system,75-84,1602.2462510757705
Respiratory diseases,Other diseases of the respiratory system,85+,2727.2416672994727
Respiratory diseases,Other diseases of the respiratory system,85+,1088.7901804763042
Respiratory diseases,Other diseases of the respiratory system,All Ages,10086.778679225155
Respiratory diseases,Other diseases of the respiratory system,All Ages,5540.059346365523
Circulatory diseases,Hypertensive diseases,0-24,18.43175638049366
Circulatory diseases,Hypertensive diseases,0-24,3.949662081534356
Circulatory diseases,Hypertensive diseases,25-34,150.74543611189458
Circulatory diseases,Hypertensive diseases,25-34,52.662161087124744
Circulatory diseases,Hypertensive diseases,35-44,641.8200882493328
Circulatory diseases,Hypertensive diseases,35-44,221.839353579513
Circulatory diseases,Hypertensive diseases,45-54,2088.054687104496
Circulatory diseases,Hypertensive diseases,45-54,805.0727876194195
Circulatory diseases,Hypertensive diseases,55-64,5950.165925831508
Circulatory diseases,Hypertensive diseases,55-64,2415.218362858259
Circulatory diseases,Hypertensive diseases,65-74,11226.256189747817
Circulatory diseases,Hypertensive diseases,65-74,4800.814260105009
Circulatory diseases,Hypertensive diseases,75-84,14548.580277331801
Circulatory diseases,Hypertensive diseases,75-84,5758.607314877091
Circulatory diseases,Hypertensive diseases,85+,17366.664172506564
Circulatory diseases,Hypertensive diseases,85+,6094.328591807512
Circulatory diseases,Hypertensive diseases,All Ages,51991.37681027749
Circulatory diseases,Hypertensive diseases,All Ages,20152.492494015463
Circulatory diseases,Ischemic heart disease,0-24,4.607939095123415
Circulatory diseases,Ischemic heart disease,0-24,3.949662081534356
Circulatory diseases,Ischemic heart disease,25-34,36.20523574739826
Circulatory diseases,Ischemic heart disease,25-34,15.140371312548364
Circulatory diseases,Ischemic heart disease,35-44,153.37854416625083
Circulatory diseases,Ischemic heart disease,35-44,65.16942434531687
Circulatory diseases,Ischemic heart disease,45-54,693.8239723228685
Circulatory diseases,Ischemic heart disease,45-54,300.8325952102001
Circulatory diseases,Ischemic heart disease,55-64,2610.06835888062
Circulatory diseases,Ischemic heart disease,55-64,1155.276158848799
Circulatory diseases,Ischemic heart disease,65-74,6148.965583935403
Circulatory diseases,Ischemic heart disease,65-74,2755.5475788838025
Circulatory diseases,Ischemic heart disease,75-84,9300.795924999818
Circulatory diseases,Ischemic heart disease,75-84,3911.4820147461905
Circulatory diseases,Ischemic heart disease,85+,10756.24640204523
Circulatory diseases,Ischemic heart disease,85+,3928.597217099506
Circulatory diseases,Ischemic heart disease,All Ages,29704.750238206303
Circulatory diseases,Ischemic heart disease,All Ages,12136.653299541487
Circulatory diseases,Cardiac arrest,0-24,60.561485250193456
Circulatory diseases,Cardiac arrest,0-24,20.406587421260838
Circulatory diseases,Cardiac arrest,25-34,240.9293869735957
Circulatory diseases,Cardiac arrest,25-34,117.17330841885256
Circulatory diseases,Cardiac arrest,35-44,626.6797169367845
Circulatory diseases,Cardiac arrest,35-44,322.5557366586391
Circulatory diseases,Cardiac arrest,45-54,1822.7690506281053
Circulatory diseases,Cardiac arrest,45-54,956.4765007449032
Circulatory diseases,Cardiac arrest,55-64,4137.929307420827
Circulatory diseases,Cardiac arrest,55-64,2367.164140866257
Circulatory diseases,Cardiac arrest,65-74,6707.184491458926
Circulatory diseases,Cardiac arrest,65-74,3760.078301620707
Circulatory diseases,Cardiac arrest,75-84,7434.580591474836
Circulatory diseases,Cardiac arrest,75-84,4132.663091312114
Circulatory diseases,Cardiac arrest,85+,7585.326027586731
Circulatory diseases,Cardiac arrest,85+,3569.1779676798797
Circulatory diseases,Cardiac arrest,All Ages,28616.618334743587
Circulatory diseases,Cardiac arrest,All Ages,15245.695634722613
Circulatory diseases,Cardiac arrhythmia,0-24,11.190709231014008
Circulatory diseases,Cardiac arrhythmia,0-24,5.266216108712475
Circulatory diseases,Cardiac arrhythmia,25-34,36.86351276098732
Circulatory diseases,Cardiac arrhythmia,25-34,19.74831040767178
Circulatory diseases,Cardiac arrhythmia,35-44,98.7415520383589
Circulatory diseases,Cardiac arrhythmia,35-44,48.05422199200133
Circulatory diseases,Cardiac arrhythmia,45-54,375.87617475935286
Circulatory diseases,Cardiac arrhythmia,45-54,188.92550290006002
Circulatory diseases,Cardiac arrhythmia,55-64,1259.9422040094596
Circulatory diseases,Cardiac arrhythmia,55-64,737.9285322333355
Circulatory diseases,Cardiac arrhythmia,65-74,3281.5109127414607
Circulatory diseases,Cardiac arrhythmia,65-74,1779.9810447448165
Circulatory diseases,Cardiac arrhythmia,75-84,5683.563735327938
Circulatory diseases,Cardiac arrhythmia,75-84,2856.2639619629285
Circulatory diseases,Cardiac arrhythmia,85+,7658.394776095116
Circulatory diseases,Cardiac arrhythmia,85+,3357.2127693042025
Circulatory diseases,Cardiac arrhythmia,All Ages,18406.083576963687
Circulatory diseases,Cardiac arrhythmia,All Ages,8993.380559653728
Circulatory diseases,Heart failure,0-24,7.899324163068712
Circulatory diseases,Heart failure,0-24,3.949662081534356
Circulatory diseases,Heart failure,25-34,42.788005883288854
Circulatory diseases,Heart failure,25-34,22.381418462028016
Circulatory diseases,Heart failure,35-44,129.6805716770447
Circulatory diseases,Heart failure,35-44,65.82770135890593
Circulatory diseases,Heart failure,45-54,425.2469507785323
Circulatory diseases,Heart failure,45-54,211.9651983756771
Circulatory diseases,Heart failure,55-64,1418.586964284423
Circulatory diseases,Heart failure,55-64,634.5790410998532
Circulatory diseases,Heart failure,65-74,3200.5428400700066
Circulatory diseases,Heart failure,65-74,1618.703176415497
Circulatory diseases,Heart failure,75-84,5492.663401387111
Circulatory diseases,Heart failure,75-84,2512.643360869439
Circulatory diseases,Heart failure,85+,8342.34459321415
Circulatory diseases,Heart failure,85+,3398.6842211603134
Circulatory diseases,Heart failure,All Ages,19060.410928471214
Circulatory diseases,Heart failure,All Ages,8468.733779823247
Circulatory diseases,Cerebrovascular diseases,0-24,12.507263258192127
Circulatory diseases,Cerebrovascular diseases,0-24,3.949662081534356
Circulatory diseases,Cerebrovascular diseases,25-34,38.8383438017545
Circulatory diseases,Cerebrovascular diseases,25-34,13.823817285370247
Circulatory diseases,Cerebrovascular diseases,35-44,125.73090959551033
Circulatory diseases,Cerebrovascular diseases,35-44,60.561485250193456
Circulatory diseases,Cerebrovascular diseases,45-54,441.04559910466975
Circulatory diseases,Cerebrovascular diseases,45-54,212.62347538926616
Circulatory diseases,Cerebrovascular diseases,55-64,1368.5579112516543
Circulatory diseases,Cerebrovascular diseases,55-64,608.2479605562908
Circulatory diseases,Cerebrovascular diseases,65-74,2785.17004449531
Circulatory diseases,Cerebrovascular diseases,65-74,1236.2442315202534
Circulatory diseases,Cerebrovascular diseases,75-84,3764.68624071583
Circulatory diseases,Cerebrovascular diseases,75-84,1582.4979406680986
Circulatory diseases,Cerebrovascular diseases,85+,4367.00970814982
Circulatory diseases,Cerebrovascular diseases,85+,1741.800977956651
Circulatory diseases,Cerebrovascular diseases,All Ages,12904.20429738633
Circulatory diseases,Cerebrovascular diseases,All Ages,5459.749550707658
Circulatory diseases,Other diseases of the circulatory system,0-24,63.852870318138756
Circulatory diseases,Other diseases of the circulatory system,0-24,22.381418462028016
Circulatory diseases,Other diseases of the circulatory system,25-34,159.30303728855236
Circulatory diseases,Other diseases of the circulatory system,25-34,58.58665420942628
Circulatory diseases,Other diseases of the circulatory system,35-44,350.20337122937957
Circulatory diseases,Other diseases of the circulatory system,35-44,162.59442235649766
Circulatory diseases,Other diseases of the circulatory system,45-54,849.1773475298866
Circulatory diseases,Other diseases of the circulatory system,45-54,456.8442474308072
Circulatory diseases,Other diseases of the circulatory system,55-64,1999.8455672835623
Circulatory diseases,Other diseases of the circulatory system,55-64,1155.9344358623882
Circulatory diseases,Other diseases of the circulatory system,65-74,3562.595197543989
Circulatory diseases,Other diseases of the circulatory system,65-74,2041.975296153262
Circulatory diseases,Other diseases of the circulatory system,75-84,4402.556666883629
Circulatory diseases,Other diseases of the circulatory system,75-84,2392.8369443962306
Circulatory diseases,Other diseases of the circulatory system,85+,4945.635203094603
